"","SchoolID","SchoolName"
"448",610298,"LENART"
"449",610299,"HINTON"
"450",610300,"WESTCOTT"
"451",610304,"PHOENIX MILITARY HS"
"452",610305,"LELAND"
"453",610308,"RUDOLPH"
"454",610312,"MCDOWELL"
"455",610313,"DIEGO"
"456",610315,"WHITE"
"457",610316,"EARHART"
"458",610317,"BRIGHTON PARK"
"459",610319,"EVERGREEN"
"460",610321,"MARSHALL"
"461",610323,"BOWEN HS"
"462",610325,"LOGANDALE"
"463",610329,"OROZCO"
"464",610334,"RABY HS"
"465",610339,"STAGG"
"466",610340,"CHGO ACAD HS"
"467",610342,"SABIN"
"468",610345,"WOODSON"
"469",610347,"CLAREMONT"
"470",610350,"BLACK"
"471",610352,"DURKIN PARK"
"472",610353,"CALMECA"
"473",610354,"NORTH RIVER"
"474",610355,"COURTENAY"
"475",610362,"EVERS"
"476",610363,"DISNEY"
"477",610364,"DUBOIS"
"478",610366,"WACKER"
"479",610367,"DE PRIEST"
"480",610368,"HUGHES"
"481",610369,"JACKSON"
"482",610380,"WILLIAMS"
"483",610381,"BRONZEVILLE HS"
"484",610383,"GREATER LAWNDALE HS"
"485",610384,"INFINITY HS"
"486",610385,"MULTICULTURAL ACAD SCHOLARSHIP"
"487",610389,"ORR HS"
"488",610390,"RICKOVER HS"
"489",610391,"LINDBLOM HS"
"490",610392,"WORLD LANGUAGE HS"
"491",610394,"UPLIFT HS"
"492",610396,"TARKINGTON"
"493",610402,"DEVRY HS"
"494",610405,"SUDER"
"495",610499,"COLLINS HS"
"496",610501,"AUSTIN POLY HS"
"497",610502,"MARINE MILITARY HS"
"498",610503,"FRAZIER PROSPECTIVE"
"499",610504,"THOMAS"
"500",610506,"TEAM HS"
"501",610513,"AIR FORCE HS"
"502",610515,"DISNEY II"
"503",610518,"VOISE HS"
"504",610520,"LASALLE II"
"505",610521,"DAVIS"
"506",610523,"EDISON PARK"
"507",610532,"HERNANDEZ"
"508",610533,"PRIETO"
"509",610539,"CAMRAS"
"510",610541,"LORCA"
"511",610542,"WEST RIDGE"
"512",610544,"AZUELA"
"513",609674,"CHICAGO VOCATIONAL HS"
"514",609676,"DUNBAR HS"
"515",609678,"JONES HS"
"516",609679,"PROSSER HS"
"517",609680,"PAYTON HS"
"518",609682,"RICHARDS HS"
"519",609691,"NORTH-GRAND HS"
"520",609692,"SIMEON HS"
"521",609693,"WESTINGHOUSE HS"
"522",609694,"HANCOCK HS"
"523",609695,"AMUNDSEN HS"
"524",609698,"BOGAN HS"
"525",609704,"FARRAGUT HS"
"526",609705,"FENGER HS"
"527",609707,"ROBESON HS"
"528",609708,"FOREMAN HS"
"529",609709,"GAGE PARK HS"
"530",609710,"HARLAN HS"
"531",609711,"HARPER HS"
"532",609712,"HIRSCH HS"
"533",609713,"HYDE PARK HS"
"534",609715,"KELLY HS"
"535",609716,"KELVYN PARK HS"
"536",609718,"KENNEDY HS"
"537",609719,"LAKE VIEW HS"
"538",609720,"LANE TECH HS"
"539",609722,"MANLEY HS"
"540",609723,"MARSHALL HS"
"541",609724,"MATHER HS"
"542",609725,"MORGAN PARK HS"
"543",609726,"BROOKS HS"
"544",609727,"PHILLIPS HS"
"545",609728,"ROOSEVELT HS"
"546",609729,"SCHURZ HS"
"547",609730,"SENN HS"
